match_id,date,round,group,home_team_original,away_team_original,ground,home_win_probability,draw_probability,away_win_probability
0,2026-06-11,Matchday 1,Group A,Mexico,South Africa,Mexico City,0.8326764490684055,0.11592372443766216,0.049167945701268506
1,2026-06-11,Matchday 1,Group A,South Korea,Czech Republic,Guadalajara (Zapopan),0.31739220713822053,0.2645612998358812,0.418027363247632
2,2026-06-18,Matchday 8,Group A,Czech Republic,South Africa,Atlanta,0.5612637246538072,0.23916953816016834,0.1994931822503135
3,2026-06-18,Matchday 8,Group A,Mexico,South Korea,Guadalajara (Zapopan),0.4852673380609796,0.2464362845637404,0.2682428716792076
4,2026-06-24,Matchday 14,Group A,Czech Republic,Mexico,Mexico City,0.40706520607310154,0.27302916109704056,0.31989319197473204
5,2026-06-24,Matchday 14,Group A,South Africa,South Korea,Monterrey (Guadalupe),0.26773237643204545,0.24621042664978635,0.4860030505362335
6,2026-06-12,Matchday 2,Group B,Canada,Bosnia & Herzegovina,Toronto,0.4941112045011089,0.2558422917685899,0.2500115803558721
7,2026-06-13,Matchday 3,Group B,Qatar,Switzerland,San Francisco Bay Area (Santa Clara),0.0956803573116798,0.15633309333635792,0.7468864510639422
8,2026-06-18,Matchday 8,Group B,Switzerland,Bosnia & Herzegovina,Los Angeles (Inglewood),0.4024494111018208,0.2649070760039522,0.33262542210440343
9,2026-06-18,Matchday 8,Group B,Canada,Qatar,Vancouver,0.741765858648581,0.16542715974746064,0.09212712099847449
10,2026-06-24,Matchday 14,Group B,Switzerland,Canada,Vancouver,0.5847450160283509,0.23640397607682131,0.17877302322600166
11,2026-06-24,Matchday 14,Group B,Bosnia & Herzegovina,Qatar,Seattle,0.3513108267108636,0.2671130624208378,0.38156043901220604
12,2026-06-13,Matchday 3,Group C,Brazil,Morocco,New York/New Jersey (East Rutherford),0.45285524372131536,0.25175538644779055,0.2953504755104003
13,2026-06-13,Matchday 3,Group C,Haiti,Scotland,Boston (Foxborough),0.23466366003138434,0.24904788785639725,0.5162398187881009
14,2026-06-19,Matchday 9,Group C,Scotland,Morocco,Boston (Foxborough),0.2084783640622023,0.25393481295717435,0.5375477379399842
15,2026-06-19,Matchday 9,Group C,Brazil,Haiti,Philadelphia,0.8111116377774992,0.13232686236108712,0.05529805403016576
16,2026-06-24,Matchday 14,Group C,Scotland,Brazil,Miami (Miami Gardens),0.1527597855718507,0.22679931222031904,0.6203381961469887
17,2026-06-24,Matchday 14,Group C,Morocco,Haiti,Atlanta,0.7365177939810724,0.17746778214502612,0.0856479437250093
18,2026-06-12,Matchday 2,Group D,USA,Paraguay,Los Angeles (Inglewood),0.5578857130887089,0.24161485920542838,0.2004332521768216
19,2026-06-13,Matchday 3,Group D,Australia,Turkey,Vancouver,0.24108742223283783,0.2644549998149515,0.49443365847979664
20,2026-06-19,Matchday 9,Group D,USA,Australia,Seattle,0.5070624977490688,0.2528481114472298,0.2400487376343825
21,2026-06-19,Matchday 9,Group D,Turkey,Paraguay,San Francisco Bay Area (Santa Clara),0.469846897387258,0.26510527149195046,0.2650259545548473
22,2026-06-25,Matchday 15,Group D,Turkey,USA,Los Angeles (Inglewood),0.5607863490176117,0.23833923551207856,0.20079787530446774
23,2026-06-25,Matchday 15,Group D,Paraguay,Australia,San Francisco Bay Area (Santa Clara),0.3961210288161396,0.2807316899742987,0.323138825536059
24,2026-06-14,Matchday 4,Group E,Germany,Curaçao,Houston,0.7920061637555839,0.1407237040113838,0.06610876153944709
25,2026-06-14,Matchday 4,Group E,Ivory Coast,Ecuador,Philadelphia,0.29259760426705683,0.253446562958204,0.4539199178837827
26,2026-06-20,Matchday 10,Group E,Germany,Ivory Coast,Toronto,0.5433092785077666,0.2241152103775391,0.23241498011388348
27,2026-06-20,Matchday 10,Group E,Ecuador,Curaçao,Kansas City,0.7592354387875383,0.15497816058636585,0.08484627271102377
28,2026-06-25,Matchday 15,Group E,Curaçao,Ivory Coast,Philadelphia,0.27678115485308796,0.2582101887082625,0.46497918591399745
29,2026-06-25,Matchday 15,Group E,Ecuador,Germany,New York/New Jersey (East Rutherford),0.2611434464493892,0.2428848965102438,0.49590734268995185
30,2026-06-14,Matchday 4,Group F,Netherlands,Japan,Dallas (Arlington),0.39519509102238465,0.2594766165882816,0.34530490549249704
31,2026-06-14,Matchday 4,Group F,Sweden,Tunisia,Monterrey (Guadalupe),0.4901803447326687,0.26829140317296796,0.241508121543354
32,2026-06-20,Matchday 10,Group F,Netherlands,Sweden,Houston,0.5656232095310415,0.22311632391821137,0.2111014931406469
33,2026-06-20,Matchday 10,Group F,Tunisia,Japan,Monterrey (Guadalupe),0.10131711076398031,0.16005695328100072,0.7375974726723282
34,2026-06-25,Matchday 15,Group F,Japan,Sweden,Dallas (Arlington),0.5238205461583209,0.23250043344900484,0.2435714072064617
35,2026-06-25,Matchday 15,Group F,Tunisia,Netherlands,Kansas City,0.10831711185839105,0.172350336287673,0.7186741669207574
36,2026-06-15,Matchday 5,Group G,Belgium,Egypt,Seattle,0.5961498596974335,0.22067227673466125,0.18301954701894418
37,2026-06-15,Matchday 5,Group G,Iran,New Zealand,Los Angeles (Inglewood),0.6251309781133214,0.20777579935319063,0.16683590667555703
38,2026-06-21,Matchday 11,Group G,Belgium,Iran,Los Angeles (Inglewood),0.5198038663573504,0.25806317905245635,0.22210035508387246
39,2026-06-21,Matchday 11,Group G,New Zealand,Egypt,Vancouver,0.11095235617271573,0.20235039605976132,0.686504817439149
40,2026-06-26,Matchday 16,Group G,Egypt,Iran,Seattle,0.35085711011040777,0.2803981028135578,0.3687366553061202
41,2026-06-26,Matchday 16,Group G,New Zealand,Belgium,Vancouver,0.04742337262104332,0.13998884777982956,0.8118523187880445
42,2026-06-15,Matchday 5,Group H,Spain,Cape Verde,Atlanta,0.7901756995428896,0.13608790994244818,0.07205552538961518
43,2026-06-15,Matchday 5,Group H,Saudi Arabia,Uruguay,Miami (Miami Gardens),0.14799190413170643,0.2147686169395336,0.637075441720066
44,2026-06-21,Matchday 11,Group H,Spain,Saudi Arabia,Atlanta,0.786276563039614,0.14840249460369423,0.06452223972585784
45,2026-06-21,Matchday 11,Group H,Uruguay,Cape Verde,Miami (Miami Gardens),0.6706698377141259,0.19396273431750152,0.1350095772556543
46,2026-06-26,Matchday 16,Group H,Cape Verde,Saudi Arabia,Houston,0.3986633865142442,0.262669210919128,0.3386473598597135
47,2026-06-26,Matchday 16,Group H,Uruguay,Spain,Guadalajara (Zapopan),0.18699328104225704,0.21659387165763244,0.596217988473766
48,2026-06-16,Matchday 6,Group I,France,Senegal,New York/New Jersey (East Rutherford),0.6101311755545571,0.21678065474287445,0.1729098447228951
49,2026-06-16,Matchday 6,Group I,Iraq,Norway,Boston (Foxborough),0.14161545934037767,0.19629861905873075,0.661739907284014
50,2026-06-22,Matchday 12,Group I,France,Iraq,Philadelphia,0.7872272852572154,0.14655891248269828,0.06533274772226423
51,2026-06-22,Matchday 12,Group I,Norway,Senegal,New York/New Jersey (East Rutherford),0.4662204994059454,0.26313280963060603,0.2706230565557015
52,2026-06-26,Matchday 16,Group I,Norway,France,Boston (Foxborough),0.19404213970693446,0.2386684198997893,0.5672152460650344
53,2026-06-26,Matchday 16,Group I,Senegal,Iraq,Toronto,0.5933241184770239,0.23059234130546039,0.17598469551460444
54,2026-06-16,Matchday 6,Group J,Argentina,Algeria,Kansas City,0.685744004073807,0.18765869203418056,0.12617040728823214
55,2026-06-16,Matchday 6,Group J,Austria,Jordan,San Francisco Bay Area (Santa Clara),0.7481632826376794,0.16155950187776236,0.08950908455795163
56,2026-06-22,Matchday 12,Group J,Argentina,Austria,Dallas (Arlington),0.6085594526225558,0.2177164290953649,0.1735524526755506
57,2026-06-22,Matchday 12,Group J,Jordan,Algeria,San Francisco Bay Area (Santa Clara),0.19118059144951827,0.2404688948508326,0.5682824082677224
58,2026-06-27,Matchday 17,Group J,Algeria,Austria,Kansas City,0.26732238700291855,0.26116900777933283,0.4714824207410311
59,2026-06-27,Matchday 17,Group J,Jordan,Argentina,Dallas (Arlington),0.053955710662126434,0.12159721539832478,0.8224551463630654
60,2026-06-17,Matchday 7,Group K,Portugal,DR Congo,Houston,0.7076029193234644,0.17895781625359725,0.11291387553190685
61,2026-06-17,Matchday 7,Group K,Uzbekistan,Colombia,Mexico City,0.15212789469339402,0.22948508274050838,0.6182953117990417
62,2026-06-23,Matchday 13,Group K,Portugal,Uzbekistan,Houston,0.742839072666017,0.17239590716904082,0.08432489145221303
63,2026-06-23,Matchday 13,Group K,Colombia,DR Congo,Guadalajara (Zapopan),0.6788539537328856,0.19519870524295713,0.12564215302324733
64,2026-06-27,Matchday 17,Group K,Colombia,Portugal,Miami (Miami Gardens),0.25847478032464655,0.2534359228605871,0.48805070049140453
65,2026-06-27,Matchday 17,Group K,DR Congo,Uzbekistan,Atlanta,0.36378490121327733,0.29223515626932506,0.3439752633485125
66,2026-06-17,Matchday 7,Group L,England,Croatia,Dallas (Arlington),0.5540347239225959,0.2389231447494835,0.2069665815537341
67,2026-06-17,Matchday 7,Group L,Ghana,Panama,Toronto,0.3507269323909653,0.2750829349147566,0.3741795982507892
68,2026-06-23,Matchday 13,Group L,England,Ghana,Boston (Foxborough),0.8582997604673722,0.10120683444728736,0.03753767417033279
69,2026-06-23,Matchday 13,Group L,Panama,Croatia,Toronto,0.22356998485428992,0.25854509708775064,0.5178530346277188
70,2026-06-27,Matchday 17,Group L,Panama,England,New York/New Jersey (East Rutherford),0.08193331382234868,0.15968282394566705,0.7576647946224663
71,2026-06-27,Matchday 17,Group L,Croatia,Ghana,Philadelphia,0.732521126755516,0.18256579762092273,0.08461836933365309
